,country,year,life_expectancy,general_medical_treatment_per_inhabitant,reported_household_burglaries_per_thousand,reported_crimes_of_violence_per_thousand,victims_of_reported_criminal_offences_per_thousand,education_qualifying_for_the_labour_market_percent,employment_rate,long-term_unemployment_per_thousand,median_personal_disposable_income,low_income_in_3_consecutive_years,divorces_per_thousand,dissolved_families_with_children_per_hundred,square_meters_dwelling_area_per_person,electoral_participation_at_the_last_general_election_percent,electoral_participation_at_the_last_municipal_election_percent,population,waste_incinerated,waste_incinerated_per_capita
19,fredensborg,2013,-1.1000000000000085,0.21666666666666679,3.216666666666667,-0.6000000000000001,0.09999999999999964,-0.9333333333333371,-0.6400000000000006,4.16,-7964.319999999978,-1.4800000000000004,2.8999999999999986,0.1499999999999999,-0.2666666666666657,1.5333333333333314,0.46666666666666856,-573.6666666666642,-2132.166666666666,-0.04793315786110092
20,frederikssund,2013,-0.4833333333333343,0.15000000000000036,3.5166666666666666,-1.4333333333333336,-0.43333333333333446,-0.9833333333333343,-0.3200000000000074,4.68,-7406.4800000000105,-1.6199999999999992,-0.5833333333333339,0.11666666666666714,-0.6000000000000014,1.0666666666666629,0.2666666666666657,-323.16666666666424,-1362.5,-0.02874302750333063
21,furesø,2013,-0.6500000000000057,0.2500000000000009,0.21666666666666856,-0.5666666666666669,-1.5166666666666657,-0.9166666666666572,-0.1599999999999966,3.1000000000000014,-8255.099999999977,-1.3399999999999999,0.216666666666665,0.1499999999999999,0.033333333333338544,1.0,0.8999999999999915,-1344.8333333333358,688.3333333333339,0.028310715904304673
22,gribskov,2013,-0.7666666666666657,0.18333333333333357,-0.2833333333333332,-1.0333333333333337,-1.0666666666666664,-0.9166666666666714,-0.3199999999999932,7.0,-7917.760000000009,-1.959999999999999,1.1166666666666671,0.5,-0.4833333333333343,1.3333333333333286,0.5999999999999943,-315.83333333333576,-257.5,-0.00353464116366764
23,halsnæs,2013,-0.11666666666667425,0.4500000000000002,4.05,-1.1166666666666663,0.2999999999999998,-1.2333333333333343,-0.980000000000004,7.440000000000001,-6954.479999999981,-2.959999999999999,1.0500000000000007,0.4666666666666668,-0.6166666666666671,1.2666666666666657,0.6666666666666714,-124.5,215.0,0.008199720531635257
24,helsingør,2013,-0.8166666666666629,0.2166666666666659,1.450000000000001,-0.10000000000000053,1.25,-1.2166666666666544,-0.6200000000000045,5.98,-7915.1600000000035,-1.240000000000002,1.2666666666666657,0.04999999999999982,-0.5,1.6000000000000085,0.5999999999999943,-384.5,2196.666666666668,0.03763807427359439
25,hillerød,2013,-0.7666666666666657,0.1999999999999993,-0.4666666666666668,-1.1833333333333336,-0.21666666666666856,-0.5499999999999972,-0.020000000000010232,4.080000000000002,-8596.520000000019,-2.0199999999999996,1.75,0.3333333333333335,-0.21666666666666146,1.1999999999999886,0.6666666666666572,-1109.8333333333358,3778.166666666666,0.08391705110947939
26,hørsholm,2013,-0.7000000000000028,0.35000000000000053,-1.166666666666666,-0.3999999999999999,0.11666666666666625,-1.1833333333333371,-0.29999999999999716,4.34,-10041.299999999988,0.33999999999999986,1.8833333333333329,0.4333333333333331,-0.2666666666666657,1.3333333333333286,0.13333333333333997,-303.3333333333321,1673.166666666666,0.07320454585760722
27,rudersdal,2013,-0.86666666666666,0.25,-2.216666666666665,-0.5333333333333332,-0.7333333333333334,-1.36666666666666,-0.47999999999998977,4.860000000000001,-14219.679999999993,-0.019999999999999574,3.316666666666668,0.21666666666666634,-0.21666666666666856,1.0,0.29999999999999716,-700.1666666666642,1147.1666666666679,0.025660658563597782
28,bornholm,2013,-0.06666666666666288,0.39999999999999947,0.4,-0.2833333333333341,-0.2999999999999998,-1.6666666666666714,-1.1599999999999966,6.84,-6465.3000000000175,-2.400000000000002,1.8000000000000007,0.2999999999999998,-1.13333333333334,1.13333333333334,0.5,741.5,-2011.333333333334,-0.055880056039849746
29,greve,2013,-0.7000000000000028,0.033333333333333215,6.1,-0.20000000000000018,1.283333333333334,-1.0999999999999943,-0.2400000000000091,2.6799999999999997,-6604.0199999999895,-5.419999999999998,-0.4833333333333325,0.31666666666666643,0.033333333333338544,1.5333333333333314,0.9666666666666686,-1073.8333333333358,1212.666666666666,0.03215449254409414
30,køge,2013,-0.6666666666666714,-0.11666666666666625,5.716666666666667,-0.7166666666666668,1.8000000000000007,-1.2499999999999858,-0.9599999999999937,8.98,-7506.720000000001,-2.4000000000000004,1.9333333333333336,0.4333333333333331,0.01666666666666572,1.2666666666666657,1.1000000000000085,-1522.8333333333358,1908.5,0.0428434127556796
31,lejre,2013,-1.0,-0.033333333333333215,6.749999999999998,-1.0333333333333332,-0.6833333333333336,-0.7666666666666657,-0.3400000000000034,3.3000000000000025,-7490.880000000005,-1.4000000000000004,2.8833333333333346,0.3333333333333335,-0.4166666666666714,0.86666666666666,0.7666666666666657,-319.8333333333321,1024.0,0.04134246020430682
32,roskilde,2013,-0.7833333333333314,-0.04999999999999982,4.500000000000001,-1.6,6.16666666666667,-1.3499999999999943,-0.4000000000000057,2.5600000000000023,-8347.220000000001,-1.2399999999999984,3.4000000000000004,0.2666666666666666,-0.09999999999999432,1.3999999999999915,-0.13333333333332575,-2013.1666666666715,4723.5,0.06395605447114683
33,solrød,2013,-1.11666666666666,-0.39999999999999947,8.466666666666667,-0.10000000000000009,1.2333333333333334,-1.6666666666666714,-0.29999999999999716,5.119999999999999,-9693.600000000006,-2.2200000000000006,0.8499999999999996,-0.2666666666666666,0.11666666666666714,1.2666666666666657,0.5666666666666629,-603.1666666666679,-1014.333333333333,-0.04039107524834967
34,faxe,2013,-0.6000000000000085,-0.15000000000000036,5.0,-0.8833333333333329,-0.7499999999999991,-0.9500000000000028,-0.5400000000000063,9.120000000000005,-6729.419999999984,-3.3400000000000016,2.8999999999999986,-0.10000000000000009,-0.28333333333333854,1.5333333333333314,0.7666666666666657,-394.66666666666424,1498.166666666666,0.04662048815453129
35,guldborgsund,2013,-0.9500000000000028,-0.13333333333333375,1.5333333333333332,-0.7833333333333332,0.7833333333333332,-0.8166666666666629,-0.35999999999999943,5.859999999999999,-5947.079999999987,-5.359999999999999,3.966666666666665,0.5666666666666664,-0.7666666666666728,1.4666666666666686,0.7333333333333343,219.83333333333576,-2448.0,-0.041445801262586124
36,holbæk,2013,-0.8166666666666771,0.11666666666666625,1.833333333333333,-0.516666666666667,0.8499999999999988,-1.0499999999999972,-0.01999999999999602,4.279999999999998,-7062.680000000022,-2.2600000000000016,1.5166666666666657,-0.016666666666666607,-0.5833333333333357,1.26666666666668,-0.7666666666666657,-606.8333333333285,1933.5,0.02969275214985298
37,kalundborg,2013,-1.1666666666666714,0.04999999999999982,4.083333333333334,-0.733333333333333,0.40000000000000036,-0.7999999999999972,-0.519999999999996,8.2,-7044.079999999987,-3.0200000000000014,0.716666666666665,0.75,-0.5333333333333243,1.2666666666666657,0.4333333333333371,-289.16666666666424,763.8333333333321,0.017845590492458208
38,lolland,2013,-0.7833333333333314,0.20000000000000018,1.833333333333333,-3.55,-2.3499999999999996,-0.5499999999999972,-0.3400000000000034,14.880000000000003,-5208.0199999999895,-4.979999999999997,0.23333333333333428,0.2833333333333341,-1.2166666666666686,1.9333333333333371,1.6000000000000085,1453.8333333333358,413.5,-0.0070575699449402785
39,næstved,2013,-0.7166666666666686,0.04999999999999982,1.2166666666666668,-0.6499999999999999,0.4833333333333325,-0.9166666666666572,-0.18000000000000682,4.959999999999997,-6398.979999999981,-3.5599999999999987,1.6999999999999993,0.20000000000000018,-0.38333333333333286,1.2000000000000028,0.9333333333333371,-860.8333333333285,3683.166666666668,0.04897252498207977
40,odsherred,2013,-1.0166666666666657,0.2166666666666659,1.416666666666667,-1.1833333333333336,0.833333333333333,-0.6166666666666742,-0.6799999999999926,1.0199999999999996,-6541.100000000006,-3.620000000000001,3.4499999999999993,0.31666666666666643,-0.56666666666667,1.2000000000000028,0.29999999999999716,-310.1666666666679,-4350.833333333334,-0.1300164245160087
41,ringsted,2013,-0.7666666666666657,-0.21666666666666679,1.25,-0.5999999999999996,2.033333333333333,-1.2000000000000028,-0.7800000000000011,5.899999999999999,-7470.040000000008,-2.400000000000002,4.933333333333334,0.5666666666666669,-0.1666666666666643,1.3333333333333428,1.0,-600.0,898.8333333333339,0.03256638846653298
42,slagelse,2013,-0.6666666666666572,0.04999999999999982,0.2666666666666666,-0.8500000000000005,0.6833333333333318,-1.0333333333333314,-0.5200000000000102,10.500000000000004,-6104.8000000000175,-3.9200000000000017,1.9833333333333343,0.2999999999999998,-0.36666666666667425,1.6666666666666572,0.5,-723.6666666666715,5222.833333333332,0.07038231092013264
43,sorø,2013,-0.4333333333333371,-0.04999999999999982,2.299999999999999,-1.0666666666666664,-1.333333333333333,-1.0333333333333314,-0.7000000000000028,6.419999999999998,-8125.899999999994,-3.42,4.183333333333334,0.3999999999999999,-0.7666666666666657,1.2000000000000028,0.8000000000000114,-166.16666666666788,1387.166666666666,0.04920936931708314
44,stevns,2013,-0.7333333333333343,0.016666666666667496,3.1333333333333337,-0.3166666666666669,-0.033333333333333215,-1.6999999999999886,-0.9399999999999977,10.04,-7459.25999999998,-2.4799999999999986,3.2666666666666693,0.16666666666666652,-0.4166666666666643,1.0,0.8333333333333286,-375.3333333333321,332.33333333333303,0.020775925694163144
45,vordingborg,2013,-0.3499999999999943,0.016666666666667496,1.2333333333333334,-2.1333333333333337,-1.583333333333334,-0.4833333333333343,-0.01999999999999602,4.720000000000002,-6155.460000000021,-2.419999999999998,1.7000000000000028,0.43333333333333357,-0.5166666666666657,1.066666666666677,0.6333333333333258,-228.5,7168.166666666668,0.15947279320934948
46,assens,2013,-0.5999999999999943,-0.033333333333333215,2.416666666666667,-0.6666666666666665,0.2999999999999998,-1.0666666666666629,-0.29999999999999716,9.740000000000006,-5317.039999999979,-1.8600000000000012,3.866666666666667,0.25000000000000044,-0.8333333333333286,0.86666666666666,0.10000000000000853,100.0,-1087.0,-0.0268294888274615
47,faaborg-midtfyn,2013,-0.5833333333333286,0.06666666666666643,0.2833333333333332,-1.4000000000000004,-1.333333333333334,-1.2000000000000028,-0.6000000000000085,10.459999999999997,-6419.899999999994,-2.26,2.083333333333334,0.33333333333333304,-0.8499999999999943,1.0,0.5666666666666629,144.33333333333576,-3091.0,-0.06081308715869593
48,kerteminde,2013,-1.63333333333334,0.0333333333333341,2.7666666666666675,-0.44999999999999973,0.2999999999999998,-1.3333333333333286,-0.5400000000000063,14.240000000000002,-6249.440000000031,-1.7200000000000006,3.0999999999999996,1.1333333333333329,-0.81666666666667,1.7333333333333343,0.8333333333333286,22.0,820.333333333333,0.034249657456733695
49,langeland,2013,-0.6833333333333229,0.21666666666666679,0.34999999999999964,-0.7833333333333332,0.9333333333333336,-0.5166666666666657,-0.04000000000000625,7.679999999999996,-5080.619999999995,-1.860000000000003,0.3999999999999986,0.8333333333333339,-0.6499999999999915,0.46666666666665435,0.6999999999999886,199.5,-452.0,-0.042356454732021154
50,middelfart,2013,-0.46666666666666856,-0.08333333333333393,4.6,-0.6166666666666667,-0.08333333333333304,-1.5666666666666629,-0.5400000000000063,6.8000000000000025,-7927.680000000022,-2.0200000000000014,-0.1833333333333318,-0.06666666666666643,-0.9833333333333272,1.2000000000000028,0.06666666666666288,-357.16666666666424,584.5,0.018714508518078043
51,nordfyns,2013,-0.9666666666666544,-0.15000000000000036,1.8500000000000005,-1.6166666666666667,-1.0166666666666675,-1.4833333333333343,-1.039999999999992,8.8,-7249.319999999978,-1.9400000000000013,0.3333333333333357,0.3333333333333335,-0.7499999999999929,0.4000000000000057,0.5,-39.33333333333212,382.0,0.013382935997225676
52,nyborg,2013,-0.9333333333333371,-0.033333333333333215,-0.13333333333333286,-1.2666666666666666,-0.36666666666666536,-0.8500000000000085,-0.29999999999999716,10.379999999999999,-5237.639999999985,-2.5600000000000005,4.0166666666666675,-0.2666666666666666,-0.6500000000000057,1.2666666666666657,-0.13333333333333997,-366.1666666666679,-3170.333333333334,-0.09573777640935005
53,odense,2013,-1.0166666666666657,-0.033333333333333215,1.8833333333333329,-0.18333333333333357,3.3833333333333346,-2.0166666666666657,-0.519999999999996,6.560000000000002,-4454.580000000016,-3.0799999999999983,2.633333333333333,0.1166666666666667,0.11666666666666714,1.26666666666668,0.1666666666666714,-4718.333333333343,1096.3333333333285,0.013796464699493804
54,svendborg,2013,-0.8833333333333258,0.13333333333333286,1.5999999999999996,-0.8666666666666671,0.16666666666666696,-0.8833333333333258,-0.5,9.360000000000003,-6344.840000000026,-2.4200000000000017,1.3666666666666671,-0.016666666666666607,-0.7833333333333314,1.5333333333333314,0.46666666666666856,12.833333333335759,-720.6666666666679,-0.012349723921712075
55,ærø,2013,0.0,0.39999999999999947,-0.5833333333333334,1.3666666666666665,0.8166666666666669,-1.9333333333333371,-1.2600000000000051,1.5399999999999991,-7464.960000000021,-2.280000000000001,-0.6666666666666661,-0.06666666666666687,-1.7166666666666686,1.9333333333333371,0.3333333333333428,220.16666666666697,697.1666666666665,0.09440922964477666
56,billund,2013,-0.6833333333333371,-0.25,3.5666666666666673,-0.3666666666666667,1.5,-1.4833333333333343,0.04000000000000625,2.459999999999999,-6402.179999999993,0.379999999999999,3.3000000000000007,0.75,-0.8333333333333286,0.7333333333333343,0.4333333333333229,-35.83333333333212,3267.0,0.12413978532945613
57,esbjerg,2013,-0.7666666666666657,0.033333333333333215,0.8500000000000005,-0.31666666666666643,1.2333333333333343,-1.7666666666666657,-0.9399999999999977,6.66,-6654.940000000002,-2.519999999999998,1.2500000000000018,0.06666666666666643,-0.6000000000000014,1.6000000000000085,-0.06666666666666288,-495.1666666666715,6931.166666666664,0.061660953945181785
58,fanø,2013,0.0,1.0333333333333332,3.5,0.08333333333333348,0.3333333333333339,-0.5500000000000114,-0.14000000000000057,1.5600000000000023,-5534.180000000022,-0.5999999999999996,-3.6999999999999993,0.8833333333333333,-0.06666666666664867,0.7999999999999972,-0.09999999999999432,-63.0,-435.1666666666665,-0.12035192245089954
59,fredericia,2013,-0.6833333333333371,0.15000000000000036,2.5166666666666657,-0.6666666666666661,0.7166666666666668,-1.4166666666666714,-0.7200000000000131,8.82,-6621.479999999981,-3.8999999999999986,3.8999999999999986,0.016666666666666607,-0.44999999999999574,1.73333333333332,0.9000000000000057,-294.33333333333576,965.6666666666661,0.020619058732529005
60,haderslev,2013,-1.1500000000000057,-0.21666666666666679,1.1333333333333329,-0.5666666666666664,0.3166666666666673,-1.2999999999999972,-0.6599999999999966,7.879999999999999,-7130.959999999992,-2.3400000000000034,1.2166666666666686,0.28333333333333277,-0.9833333333333343,0.6666666666666714,0.23333333333333428,70.66666666666424,2932.666666666668,0.05198557263523901
61,kolding,2013,-0.5833333333333286,-0.08333333333333393,2.0500000000000007,-1.2000000000000006,0.6166666666666671,-1.6666666666666572,-0.47999999999998977,6.559999999999999,-6889.579999999987,-2.6799999999999997,0.9333333333333318,0.34999999999999964,-0.19999999999999574,1.4000000000000057,0.03333333333333144,-1595.3333333333285,15.33333333333212,0.004819427415770128
62,sønderborg,2013,-0.75,0.09999999999999964,0.31666666666666643,-0.5666666666666669,0.9166666666666661,-1.2999999999999972,-0.7999999999999972,6.159999999999997,-6551.119999999966,-0.6000000000000014,3.0999999999999996,-0.06666666666666687,-0.9666666666666615,0.6666666666666714,-0.13333333333333997,711.8333333333285,6574.333333333332,0.08379560139533032
63,tønder,2013,-0.8333333333333286,0.0333333333333341,3.9833333333333334,-1.9833333333333334,-0.5499999999999998,-1.4833333333333343,-0.7999999999999972,7.739999999999998,-6942.220000000001,-1.3599999999999994,-0.05000000000000071,0.3833333333333333,-0.9666666666666615,0.5333333333333456,0.4333333333333371,582.5,7643.666666666668,0.1915722440710637
64,varde,2013,-0.9000000000000057,0.016666666666666607,1.6833333333333336,-0.2666666666666666,0.5999999999999996,-1.8333333333333428,-0.46000000000000796,4.76,-6237.239999999991,-1.4800000000000004,2.5,0.11666666666666714,-0.9166666666666643,0.5333333333333314,0.3333333333333286,-212.83333333333576,-2110.5,-0.04063341925834041
65,vejen,2013,-0.7499999999999858,-0.0333333333333341,5.183333333333334,0.3333333333333335,0.21666666666666679,-1.2500000000000142,-0.7999999999999972,4.920000000000002,-7434.100000000006,-2.3599999999999994,1.9499999999999993,0.06666666666666687,-0.8833333333333329,0.4000000000000057,0.20000000000000284,-50.5,4349.0,0.10216748698744788
66,vejle,2013,-0.5666666666666629,0.033333333333333215,3.749999999999999,-1.5833333333333335,0.6999999999999993,-1.5833333333333286,-0.6999999999999886,6.379999999999999,-7916.459999999992,-1.9000000000000004,2.950000000000001,-0.1333333333333333,-0.3500000000000014,1.2000000000000028,0.2666666666666657,-2519.8333333333285,3558.8333333333358,0.04074530106406493
67,aabenraa,2013,-0.6666666666666714,-0.16666666666666696,3.616666666666667,-0.9833333333333343,0.4333333333333327,-1.6666666666666572,-0.8799999999999955,10.000000000000004,-6254.860000000015,-2.3599999999999994,2.916666666666666,0.41666666666666696,-0.7833333333333314,0.46666666666666856,0.36666666666666003,200.83333333333576,661.3333333333321,0.01019014684169317
68,favrskov,2013,-0.5499999999999972,-0.033333333333333215,2.7333333333333325,-0.7666666666666666,-0.2999999999999998,-1.2333333333333343,-0.7199999999999989,6.820000000000002,-8553.48000000001,-1.2600000000000007,2.166666666666668,0.3500000000000001,-0.5333333333333385,0.6666666666666714,0.6666666666666714,-457.83333333333576,640.0,0.01597534460049721
69,hedensted,2013,-0.6333333333333258,-0.10000000000000053,1.75,-1.1500000000000004,-0.7833333333333337,-1.3333333333333286,-0.7600000000000051,4.720000000000001,-7726.720000000001,-0.5199999999999996,3.1500000000000004,0.6833333333333336,-0.8166666666666629,0.86666666666666,0.3333333333333286,-302.0,-2182.0,-0.045437102646122995
70,horsens,2013,-0.63333333333334,0.04999999999999982,1.966666666666666,-1.0833333333333335,0.5333333333333332,-1.5833333333333428,-0.5400000000000063,7.34,-7005.620000000024,-2.3000000000000025,0.7166666666666668,0.1166666666666667,0.06666666666666998,1.3999999999999915,0.6666666666666714,-2338.6666666666715,-1151.3333333333321,-0.005788872667838174
71,norddjurs,2013,-0.5,-0.1999999999999993,1.9833333333333334,-1.416666666666667,-0.583333333333333,-1.5666666666666629,-0.29999999999999716,9.46,-5188.399999999994,-2.0600000000000023,1.166666666666666,-0.10000000000000009,-0.7999999999999972,0.9333333333333371,0.46666666666666856,-14.666666666664241,-126.33333333333394,-0.0032264542275717845
72,odder,2013,-0.5,0.04999999999999982,1.4333333333333336,-0.7166666666666668,-0.4833333333333334,-0.7000000000000028,0.1599999999999966,6.000000000000002,-7637.879999999976,-1.1400000000000006,1.25,0.06666666666666687,-0.6000000000000014,0.7333333333333201,0.6000000000000085,-298.1666666666679,2077.666666666667,0.0994777428998791
73,randers,2013,-0.5499999999999972,0.033333333333333215,0.8166666666666673,-0.40000000000000036,1.666666666666666,-1.4833333333333343,-0.37999999999999545,7.400000000000002,-6508.399999999994,-2.900000000000002,1.9833333333333343,0.4500000000000002,-0.30000000000000426,1.4666666666666686,0.6666666666666572,-1168.5,404.1666666666679,0.007445989732297598
74,samsø,2013,0.0,-0.06666666666666732,1.0499999999999998,-1.1166666666666663,-0.6333333333333333,-1.5,-0.3400000000000034,2.200000000000001,-8251.100000000006,2.480000000000002,2.4833333333333325,-2.5166666666666666,-1.5833333333333428,1.5333333333333314,0.2666666666666657,62.666666666666515,209.66666666666652,0.04403588230394084
75,silkeborg,2013,-0.6666666666666714,-0.033333333333333215,1.4999999999999991,0.1333333333333333,0.8833333333333337,-1.2000000000000028,-0.539999999999992,5.879999999999999,-8452.459999999992,-0.9800000000000004,2.4999999999999982,0.13333333333333286,-0.5333333333333385,0.9999999999999858,0.5333333333333314,-1149.8333333333285,246.33333333333212,0.006425868298301107
76,skanderborg,2013,-0.61666666666666,0.10000000000000053,1.4166666666666679,-0.4166666666666665,1.3000000000000007,-1.1666666666666572,-0.23999999999999488,3.5199999999999996,-9440.840000000026,-1.12,1.0166666666666657,0.4833333333333334,-0.46666666666667567,0.4000000000000057,0.20000000000000284,-1254.6666666666642,2806.5,0.054461072295817814
77,syddjurs,2013,-0.7833333333333314,0.04999999999999982,0.4833333333333343,-0.13333333333333286,0.5166666666666666,-1.0999999999999943,-0.9599999999999937,6.9399999999999995,-7614.039999999979,-2.8000000000000007,1.8166666666666647,0.2999999999999998,-1.0333333333333385,0.86666666666666,0.3333333333333428,-46.5,1175.833333333334,0.028288717712312117
78,aarhus,2013,-0.7666666666666657,0.0,1.799999999999999,-1.2833333333333332,3.2666666666666657,-1.6666666666666714,-0.7999999999999972,5.800000000000001,-6764.459999999992,-1.2200000000000024,1.950000000000001,0.18333333333333357,0.033333333333338544,1.4666666666666544,0.0,-10235.5,2328.1666666666715,0.015187414659065479
79,herning,2013,-0.4833333333333343,0.09999999999999964,1.5333333333333332,-1.5666666666666664,0.40000000000000036,-1.8333333333333286,-0.7000000000000028,6.960000000000001,-7541.859999999986,-0.7799999999999994,0.36666666666666714,0.21666666666666634,-0.4999999999999929,0.7999999999999972,0.36666666666666003,-907.1666666666715,-3540.5,-0.037214875763693034
